CODGEO;PMIMP;DECUC_Q2;DECUC_Q1;DECUC_Q3;BREV;DECUC_D1;DECUC_D9;DECUC_D1D9;DISP_Q2;DISP_Q1;DISP_Q3;TP60;DISP_D1;DISP_D9;DISP_D1D9;PACT;PPEN;PPSOC;PIMPOT;PPAT;NOTE_FILO;C;CC2S;NOTE_CNAM;A;APPA;ARSAS;AAAH;NOTE_CNAF
QP001001;24,3;10580;5780;17070;58,6;1620;23220;14,3;13790;10840;18100;38,9;8620;22860;2,7;53,4;32;19,8;-9,3;4,1;0;5838;1426;0;1991;714;341;227;0
QP001002;13,5;8990;4950;13790;70,8;1030;18520;17,9;12850;10190;16040;48,4;8070;19180;2,4;49;27,6;27,6;-6,6;2,4;0;1777;406;0;726;227;144;104;0
QP001003;26;12460;6350;21070;51;0;32310;;15680;11760;22350;29,4;7250;33780;4,7;78,2;19;10,7;-11,2;3,3;0;;;5;272;81;36;18;0
QP001004;25,8;11160;6770;18730;56,1;3280;27410;8,3;14480;11050;19740;37,5;8800;27000;3,1;70,3;20,1;16,6;-9,9;2,9;0;1139;153;0;299;88;48;22;0
QP001005;22,3;9270;4420;15420;66,2;260;21750;84,8;13000;10250;17280;47;8420;22180;2,6;61,9;19,6;24;-8,4;2,9;0;1555;446;0;531;179;122;58;0
QP001006;17,4;10430;6240;15470;62;2980;20670;6,9;13710;11030;17130;41,7;8990;20800;2,3;58;25,9;21,2;-7,4;2,3;0;4821;1040;0;1268;417;180;128;0
QP001007;;9820;6270;15620;64,6;2670;21040;7,9;13540;10860;16770;37,9;8800;21170;2,4;67,4;16,2;22,4;-7,9;1,9;0;1054;209;0;336;115;52;33;0
QP001008;;8520;5320;12990;73,1;1960;17610;9;12250;9910;14970;54,8;8090;18570;2,3;54,3;25,1;25,8;-7,2;2;0;906;183;0;269;77;49;38;0
QP001009;28,1;12120;7610;18730;54,1;4060;24680;6,1;14560;11790;18970;35,2;9310;24040;2,6;68,9;21,8;16,3;-9,3;2,3;0;985;140;0;278;96;51;21;0
QP002001;22,3;8530;2760;16310;64,4;0;23190;;12960;9920;17640;47,5;8250;22790;2,8;37,4;41,5;25;-8,4;4,5;0;5997;2246;0;2120;644;700;276;0
